SubscriberID,GivenName,LastName,Email,WorkPhone,PersonalPhone,Address,Postcode,CityID
1, Randie, Bonifas, rbonifas0@va.gov, 843-438-1134, 262-415-5099, 4 Luster Hill, 55160, 18
2, Gale, Casham, gcasham1@zimbio.com, 162-641-3076, 205-803-3284, 8 Alpine Plaza, 2125-106, 106
3, Tedda, Albrecht, talbrecht2@wiley.com, 924-315-1221, 188-319-5197, 74 Sundown Alley, 8432, 116
4, Rania, ORegan, roregan3@ca.gov, 433-723-2429, 487-703-2260, 08699 Maple Hill, 8432, 187
5, Dory, Santo, dsanto4@google.com.au, 994-574-2496, 658-319-7791, 998 Almo Circle, 8432, 67
6, Portie, Muehle, pmuehle5@nasa.gov, 433-814-6482, 670-749-7122, 43916 Gale Street, 8432, 82
7, Cher, Gibbieson, cgibbieson6@exblog.jp, 373-209-9310, 818-791-2951, 31172 Namekagon Parkway, 8432, 31
8, Gayelord, Pollastrino, gpollastrino7@ovh.net, 947-244-0641, 514-380-6511, 072 Hoepker Circle, 8432, 182
9, Brand, Brayford, bbrayford8@tumblr.com, 984-202-5449, 844-708-3962, 1189 Bonner Way, 8432, 63
10, Jeremy, Coupman, jcoupman9@hibu.com, 267-442-8182, 424-907-2750, 79021 Briar Crest Plaza, 8432, 33
11, Byrann, Smeaton, bsmeatona@clickbank.net, 495-611-6968, 439-564-1574, 1736 Pearson Plaza, 8432, 86
12, Bartie, Joisce, bjoisceb@unblog.fr, 507-531-6859, 751-941-7397, 23978 South Way, 4341, 56
13, Alberto, Danzig, adanzigc@unicef.org, 604-283-4420, 822-109-2963, 8 Union Junction, 8432, 143
14, Saidee, Keywood, skeywoodd@europa.eu, 365-816-1128, 559-763-3859, 26 Johnson Point, 8432, 134
15, Linnie, De Zamudio, ldezamudioe@macromedia.com, 390-464-3562, 389-920-2831, 216 Anniversary Center, 8432, 53
16, Patin, Prazor, pprazorf@nifty.com, 353-483-6502, 836-881-4497, 8 North Center, 130027, 106
17, Germaine, Hulland, ghullandg@biblegateway.com, 629-160-4263, 855-171-3628, 9 Nancy Circle, 993-0075, 28
18, Joly, Doxsey, jdoxseyh@ft.com, 686-136-8980, 272-823-4102, 832 Armistice Center, 8432, 80
19, Tatiania, Kier, tkieri@ning.com, 835-200-8806, 599-151-0111, 7780 Hallows Pass, 1158, 166
20, Lottie, Mableson, lmablesonj@comsenz.com, 162-585-9180, 193-129-3986, 220 Pawling Way, 164210, 136
21, Tracee, Hanton, thantonk@yellowbook.com, 768-133-0951, 607-129-5370, 47340 Superior Point, 8432, 115
22, Alonzo, Charpling, acharplingl@com.com, 562-813-7538, 155-858-8019, 93234 Carpenter Drive, 47650-000, 44
23, Prudi, Bolliver, pbolliverm@oracle.com, 948-110-2061, 652-818-4568, 2205 Waywood Hill, 42-425, 136
24, Klemens, Easum, keasumn@disqus.com, 928-442-0280, 800-791-4486, 03 Dixon Avenue, 8432, 156
25, Dianemarie, Broadberrie, dbroadberrieo@gnu.org, 955-179-9282, 272-968-4704, 4365 8th Avenue, 88504 CEDEX, 60
26, Idalina, Bruhnicke, ibruhnickep@bloglines.com, 933-394-9453, 388-771-3645, 67 Pawling Point, 8432, 7
27, Aeriel, Sirmon, asirmonq@histats.com, 804-658-8876, 410-607-0189, 9 Nevada Circle, 89520-000, 139
28, Muhammad, Luckham, mluckhamr@washington.edu, 294-851-7772, 687-805-9453, 80 North Plaza, 3230, 171
29, Micheline, Grishanin, mgrishanins@scientificamerican.com, 508-488-2597, 706-480-5736, 0168 Rigney Center, 8432, 103
30, Nancey, Atcheson, natchesont@jiathis.com, 681-102-2749, 441-247-3062, 360 Bluejay Place, 501-4455, 83
